x,y
5.35982,-1.916042
5.35982,-1.916042
5.35982,-1.916042
5.83958,-1.241379
6.634183,-0.641679
6.7991,-0.05697155
6.754123,-0.07196391
5.95952,-1.136432
4.970016,-2.155922
4.310344,-2.425787
4.010494,-2.425787
4.010494,-2.425787
3.245877,-2.575712
1.956522,-3.025487
0.967016,-2.8006
0.5922035,-2.635682
1.671664,-2.935532
2.361319,-2.875562
3.125937,-2.770615
4.325337,-2.335832
6.004498,-1.451274
6.409295,-0.9415293
6.169415,-1.091454
4.775112,-2.125937
3.605697,-2.890555
1.956522,-3.415292
0.6521739,-2.98051
0.6521739,-2.98051
0.787106,-3.055472
2.916041,-3.265368
4.235383,-2.965517
5.809596,-1.511244
6.169415,-0.5817091
6.169415,-0.5817091
6.169415,-0.5817091
6.814092,0.6476761
6.754123,0.8725638
6.769115,0.7226387
6.694153,0.07796115
6.079461,-0.8215892
3.935532,-1.841079
3.155922,-1.811095
3.155922,-1.811095
3.155922,-1.811095
3.02099,-1.886057
2.361319,-2.320839
1.611694,-2.515742
0.3673164,-2.485757
-0.7421289,-2.290855
-1.011994,-2.185907
0.1274359,-2.755622
1.161919,-2.8006
2.241379,-2.770615
2.811094,-2.635682
3.260869,-2.485757
3.995502,-2.230885
4.955022,-1.721139
5.269865,-1.496252
5.284857,-1.466267
6.43928,-0.2668667
6.409295,-0.7166418
6.409295,-0.7166418
6.454273,-0.4467766
6.454273,-0.4467766
